Funding Source,Wallet Media Type,Model,Objective,Media Mix,Media Category,Month,Spend,Date,tier,Media Channel
Global,Advanced TV,LEAF,Near Market,Network,NATIONAL TV,December,622222.00,12/1/18,T1,Addressable TV T1
Global,Advanced TV,LEAF,Near Market,Network,NATIONAL TV,February,222223.00,2/1/19,T1,Addressable TV T1
Global,Advanced TV,LEAF,Near Market,Network,NATIONAL TV,January,222222.00,1/1/19,T1,Addressable TV T1
Global,Advanced TV,LEAF,Near Market,Network,NATIONAL TV,March,1222223.00,3/1/19,T1,Addressable TV T1
Global,Advanced TV,LEAF,Near Market,Network,NATIONAL TV,November,622222.00,11/1/18,T1,Addressable TV T1
Global,Advanced TV,LEAF,Near Market,Network,NATIONAL TV,October,622222.00,10/1/18,T1,Addressable TV T1
Global,Digital Display,LEAF,Future Market,Lifestyle,DIGITAL MEDIA,December,454240.00,12/1/18,T1,Digital Display T1
Global,Digital Display,LEAF,Future Market,Lifestyle,DIGITAL MEDIA,February,376071.00,2/1/19,T1,Digital Display T1
Global,Digital Display,LEAF,Future Market,Lifestyle,DIGITAL MEDIA,January,376071.00,1/1/19,T1,Digital Display T1
Global,Digital Display,LEAF,Future Market,Lifestyle,DIGITAL MEDIA,March,358927.00,3/1/19,T1,Digital Display T1
Global,Digital Display,LEAF,Future Market,Lifestyle,DIGITAL MEDIA,November,480398.00,11/1/18,T1,Digital Display T1
Global,Digital Display,LEAF,Future Market,Lifestyle,DIGITAL MEDIA,October,514661.00,10/1/18,T1,Digital Display T1
Global,Digital Display,LEAF,Future Market,Social,DIGITAL MEDIA,December,225709.00,12/1/18,T1,Social T1
Global,Digital Display,LEAF,Future Market,Social,DIGITAL MEDIA,February,199780.00,2/1/19,T1,Social T1
Global,Digital Display,LEAF,Future Market,Social,DIGITAL MEDIA,January,275709.00,1/1/19,T1,Social T1
Global,Digital Display,LEAF,Future Market,Social,DIGITAL MEDIA,March,978958.00,3/1/19,T1,Social T1
Global,Digital Display,LEAF,Future Market,Social,DIGITAL MEDIA,November,224316.00,11/1/18,T1,Social T1
Global,Digital Display,LEAF,Future Market,Social,DIGITAL MEDIA,October,191991.00,10/1/18,T1,Social T1
Global,Digital Display,LEAF,In Market,Social,DIGITAL MEDIA,March,250000.00,3/1/19,T1,Social T1
Global,Digital Display,LEAF,Near Market,Social,DIGITAL MEDIA,February,281930.00,2/1/19,T1,Social T1
Global,Digital Display,LEAF,Near Market,Social,DIGITAL MEDIA,January,85357.00,1/1/19,T1,Social T1
Global,Digital Display,LEAF,Near Market,Social,DIGITAL MEDIA,March,332713.00,3/1/19,T1,Social T1
Global,Direct Mail,LEAF,In Market,African AM,PRINT,February,250000.00,2/1/19,T1,Other
Global,Direct Mail,LEAF,In Market,African AM,PRINT,January,250000.00,1/1/19,T1,Other
Global,Direct Mail,LEAF,In Market,African AM,PRINT,March,250000.00,3/1/19,T1,Other
Global,Online Video,LEAF,Future Market,Streaming Video,DIGITAL MEDIA,March,775000.00,3/1/19,T1,Streaming T1
Global,OOH,LEAF,Future Market,OOH,OUTDOOR,March,700000.00,3/1/19,T1,Other
Global,Search,LEAF,Future Market,Paid Search,DIGITAL MEDIA,December,149958.00,12/1/18,T1,Search T1
Global,Search,LEAF,Future Market,Paid Search,DIGITAL MEDIA,February,155062.00,2/1/19,T1,Search T1
Global,Search,LEAF,Future Market,Paid Search,DIGITAL MEDIA,January,155016.00,1/1/19,T1,Search T1
Global,Search,LEAF,Future Market,Paid Search,DIGITAL MEDIA,March,158879.00,3/1/19,T1,Search T1
Global,Search,LEAF,Future Market,Paid Search,DIGITAL MEDIA,November,162212.00,11/1/18,T1,Search T1
Global,Search,LEAF,Future Market,Paid Search,DIGITAL MEDIA,October,163871.00,10/1/18,T1,Search T1
